         6673132 function calls (6671433 primitive calls) in 16.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      454    0.002    0.000    0.002    0.000 {built-in method spec_ints}
        1    0.002    0.002    0.020    0.020 Fluid.py:1(<module>)
        4    0.002    0.000    0.002    0.000 {open}
     2092    0.002    0.000    0.002    0.000 fromnumeric.py:70(<dictcomp>)
       43    0.002    0.000    0.002    0.000 {numpy.where}
        1    0.002    0.002    0.002    0.002 fftpack.py:32(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:86(<module>)
      455    0.002    0.000    0.005    0.000 function_base.py:434(asarray_chkfinite)
        1    0.001    0.001    0.006    0.006 decimal.py:116(<module>)
        1    0.001    0.001    0.007    0.007 financial.py:12(<module>)
     2725    0.001    0.000    0.002    0.000 sre_parse.py:193(__next)
        1    0.001    0.001    0.002    0.002 threading.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:262(_reset_cache)
      431    0.001    0.000    0.018    0.000 chebfcns.py:138(thu)
      430    0.001    0.000    0.213    0.000 Fiber.py:300(calcLocalVelocity)
      430    0.001    0.000    0.008    0.000 Fiber.py:210(notConverged)
      172    0.001    0.000    0.014    0.000 compressed.py:946(tocoo)
     1292    0.001    0.000    0.002    0.000 fromnumeric.py:2847(ndim)
     2165    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      172    0.001    0.000    0.012    0.000 compressed.py:25(__init__)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
      129    0.001    0.000    0.001    0.000 stride_tricks.py:116(_broadcast_to)
        1    0.001    0.001    0.011    0.011 utils.py:4(<module>)
        1    0.001    0.001    0.018    0.018 multiarray.py:7(<module>)
      172    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.008    0.008 tokenize.py:23(<module>)
        1    0.001    0.001    0.001    0.001 dis.py:1(<module>)
        1    0.001    0.001    0.001    0.001 bisect.py:1(<module>)
        1    0.001    0.001    0.008    0.008 __init__.py:3(<module>)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        1    0.001    0.001    0.003    0.003 _datasource.py:35(<module>)
        1    0.001    0.001    0.002    0.002 format.py:156(<module>)
        2    0.001    0.001    0.001    0.001 _version.py:7(<module>)
        1    0.001    0.001    0.002    0.002 main.py:1(<module>)
      274    0.001    0.000    0.001    0.000 {__import__}
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
     6021    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 _type_aliases.py:24(<module>)
  708/268    0.001    0.000    0.001    0.000 sre_parse.py:151(getwidth)
        1    0.001    0.001    0.003    0.003 __init__.py:19(<module>)
        1    0.001    0.001    0.001    0.001 _validation.py:1(<module>)
        1    0.001    0.001    0.001    0.001 flinalg.py:5(<module>)
      172    0.001    0.000    0.002    0.000 compressed.py:1077(prune)
      516    0.001    0.000    0.003    0.000 sputils.py:209(isshape)
      265    0.001    0.000    0.155    0.001 EwaldStuff.py:312(primecoords)
        1    0.001    0.001    0.001    0.001 _ccallback.py:1(<module>)
        1    0.001    0.001    0.001    0.001 type_check.py:3(<module>)
      432    0.001    0.000    0.003    0.000 {method 'any' of 'numpy.generic' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:11(<module>)
        1    0.001    0.001    0.001    0.001 ExForces.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _ellip_harm.py:1(<module>)
     2127    0.001    0.000    0.001    0.000 sre_parse.py:141(__getitem__)
      430    0.001    0.000    0.058    0.000 Fiber.py:435(getUniLocs)
     1790    0.001    0.000    0.003    0.000 Fiber.py:88(calcfE)
      550    0.001    0.000    0.006    0.000 fromnumeric.py:2397(amax)
       10    0.001    0.000    0.002    0.000 Fiber.py:57(initIs)
       25    0.001    0.000    0.002    0.000 {method 'permutation' of 'mtrand.RandomState' objects}
      196    0.001    0.000    0.001    0.000 sre_compile.py:256(_optimize_charset)
     2335    0.001    0.000    0.002    0.000 sre_parse.py:212(get)
       25    0.001    0.000    0.140    0.006 ExForces.py:53(totalExForce)
       43    0.001    0.000    0.017    0.000 function_base.py:4078(meshgrid)
     2064    0.001    0.000    0.001    0.000 sputils.py:279(<genexpr>)
      516    0.001    0.000    0.002    0.000 sputils.py:187(isintlike)
      129    0.001    0.000    0.276    0.002 _interfaces.py:459(nufft3d2)
      430    0.001    0.000    0.001    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
      516    0.001    0.000    0.001    0.000 sputils.py:92(to_native)
      688    0.001    0.000    0.001    0.000 base.py:72(__init__)
      750    0.001    0.000    0.001    0.000 {sorted}
      344    0.001    0.000    0.001    0.000 coo.py:235(getnnz)
      432    0.001    0.000    0.001    0.000 {numpy.result_type}
     1032    0.001    0.000    0.001    0.000 getlimits.py:508(min)
      172    0.001    0.000    0.001    0.000 sputils.py:96(getdtype)
      202    0.001    0.000    0.015    0.000 re.py:230(_compile)
      129    0.000    0.000    0.429    0.003 _interfaces.py:405(nufft3d1)
     1032    0.000    0.000    0.001    0.000 base.py:243(nnz)
       35    0.000    0.000    0.001    0.000 shape_base.py:1154(tile)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
       10    0.000    0.000    0.001    0.000 Fiber.py:96(initFPMatrix)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
   162/42    0.000    0.000    0.008    0.000 sre_parse.py:317(_parse_sub)
     3652    0.000    0.000    0.000    0.000 {operator.index}
       43    0.000    0.000    0.002    0.000 stride_tricks.py:208(broadcast_arrays)
      248    0.000    0.000    0.000    0.000 {numpy.copyto}
      455    0.000    0.000    0.011    0.000 lapack.py:603(get_lapack_funcs)
      432    0.000    0.000    0.005    0.000 fromnumeric.py:2083(any)
      750    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      860    0.000    0.000    0.002    0.000 linalg.py:229(transpose)
        1    0.000    0.000    0.000    0.000 {function seed at 0x7fb05b193050}
      172    0.000    0.000    0.047    0.000 base.py:902(tocoo)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
      688    0.000    0.000    0.000    0.000 compressed.py:105(getnnz)
      357    0.000    0.000    0.000    0.000 _internal.py:889(npy_ctypes_check)
      172    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.expandptr}
      822    0.000    0.000    0.000    0.000 {zip}
       50    0.000    0.000    0.001    0.000 _internal.py:275(_get_void_ptr)
      272    0.000    0.000    0.002    0.000 function_base.py:438(add_newdoc)
      688    0.000    0.000    0.003    0.000 {method 'max' of 'numpy.ndarray' objects}
       46    0.000    0.000    0.000    0.000 EwaldStuff.py:61(calcnBins)
     1061    0.000    0.000    0.000    0.000 {round}
       15    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
      172    0.000    0.000    0.005    0.000 fromnumeric.py:2252(cumsum)
      516    0.000    0.000    0.001    0.000 data.py:22(__init__)
     1034    0.000    0.000    0.000    0.000 getlimits.py:522(max)
      455    0.000    0.000    0.003    0.000 {method 'all' of 'numpy.ndarray' objects}
      248    0.000    0.000    0.001    0.000 numeric.py:175(ones)
      196    0.000    0.000    0.001    0.000 sre_compile.py:228(_compile_charset)
       60    0.000    0.000    0.000    0.000 chebfcns.py:124(th2)
      178    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      688    0.000    0.000    0.003    0.000 _methods.py:26(_amax)
       28    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fb06fb94e80}
      432    0.000    0.000    0.000    0.000 function_base.py:20(_index_deprecate)
      688    0.000    0.000    0.002    0.000 {method 'min' of 'numpy.ndarray' objects}
       50    0.000    0.000    0.000    0.000 _internal.py:263(__array_interface__)
     1392    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
      432    0.000    0.000    0.000    0.000 numeric.py:2035(isscalar)
        2    0.000    0.000    0.006    0.003 EwaldStuff.py:44(calcrcut)
       54    0.000    0.000    0.000    0.000 __init__.py:498(cast)
      688    0.000    0.000    0.002    0.000 _methods.py:30(_amin)
      430    0.000    0.000    0.000    0.000 linalg.py:197(_assertRank2)
      430    0.000    0.000    0.000    0.000 linalg.py:220(_isEmpty2d)
       19    0.000    0.000    0.001    0.000 abc.py:86(__new__)
      344    0.000    0.000    0.000    0.000 _util.py:129(_prune_array)
      516    0.000    0.000    0.000    0.000 base.py:1190(isspmatrix)
      455    0.000    0.000    0.003    0.000 _methods.py:45(_all)
      832    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
      516    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
       43    0.000    0.000    0.000    0.000 stride_tricks.py:185(_broadcast_shape)
       10    0.000    0.000    0.001    0.000 Fiber.py:43(initFib)
       53    0.000    0.000    0.001    0.000 core.py:892(__init__)
      226    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
     1030    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
      432    0.000    0.000    0.002    0.000 _methods.py:42(_any)
      688    0.000    0.000    0.000    0.000 {numpy.can_cast}
       42    0.000    0.000    0.001    0.000 sre_compile.py:433(_compile_info)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
      455    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      118    0.000    0.000    0.000    0.000 {built-in method Fnear}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       10    0.000    0.000    0.010    0.001 Fiber.py:69(initD4BC)
    32/19    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        8    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
      430    0.000    0.000    0.000    0.000 {method 'conjugate' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 process.py:35(<module>)
        5    0.000    0.000    0.000    0.000 {dir}
      758    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
     1067    0.000    0.000    0.000    0.000 {min}
       25    0.000    0.000    0.000    0.000 Fluid.py:41(getg)
       42    0.000    0.000    0.015    0.000 sre_compile.py:567(compile)
       32    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      646    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       42    0.000    0.000    0.008    0.000 sre_parse.py:706(parse)
      489    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      455    0.000    0.000    0.000    0.000 misc.py:177(_datacopied)
       10    0.000    0.000    0.016    0.002 Fiber.py:11(__init__)
       50    0.000    0.000    0.001    0.000 _internal.py:292(__init__)
       25    0.000    0.000    0.001    0.000 ExForces.py:62(addGravity)
